         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57545.355107 19.631075      NaN  -31    17 c    0   1.02 210.91068 54.31167  1166.52  8189.75 4.15 3.77 -57.0 -0.430    19.62 21.73 02a57545o0243c  4194560  22.946832
57545.356559 19.302877      NaN    8    20 c    0   0.74 210.91068 54.31167 10308.59  8195.60 4.65 3.62  82.6 -0.426    19.64 21.79 02a57545o0246c        0  25.249893
57545.358980 19.318728      NaN   16    17 c    0   1.02 210.91068 54.31167 10365.65  8277.62 4.64 3.65  81.3 -0.435    19.64 21.79 02a57545o0251c   524288  22.946832
57545.361400 19.401649      NaN  -35    21 c    0   1.77 210.91068 54.31167  1179.44  8072.46 4.39 3.92 -58.1 -0.425    19.56 21.74 02a57545o0256c        0  26.049129
57545.371093 19.454622      NaN  -27    20 c    0   1.18 210.91068 54.31167  1146.79  8133.14 4.36 3.89 -56.8 -0.427    19.46 21.59 02a57545o0276c   524288  25.249893
57545.380784 19.271854      NaN    4    22 c    0   1.09 210.91068 54.31167 10378.31  8164.96 4.68 3.68  80.3 -0.420    19.41 21.51 02a57545o0296c        0  26.861815
57545.390661 19.510313      NaN  -14    19 c    0   1.11 210.91068 54.31167 10340.76  8224.79 4.89 3.82  79.3 -0.420    19.52 21.66 02a57545o0315c        0  24.465427
57549.332077 19.401649      NaN  -23    21 c    0   1.05 210.91068 54.31167  2409.06  9676.65 4.08 3.84 -55.2 -0.424    19.44 21.31 02a57549o0078c        0  26.049129
57549.342782 19.318728      NaN    1    22 c    0   0.95 210.91068 54.31167  2398.90  9636.87 4.17 3.87 -53.8 -0.416    19.44 21.33 02a57549o0100c        0  26.861815
57549.359807 19.454622      NaN  -13    20 c    0   1.06 210.91068 54.31167  2455.25  9712.27 4.12 3.83 -48.4 -0.420    19.46 21.36 02a57549o0135c   524288  25.249893
57549.367069 18.534680      NaN   43    32 c    0   0.63 210.91068 54.31167  2467.90  9595.47 4.12 3.84 -53.7 -0.424    19.47 21.39 02a57549o0150c  4194560  35.518405
