 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD        uJy      duJy     stdev       x2         m  dm
57701.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57702.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57703.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57704.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57705.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57706.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57707.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57708.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57709.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57710.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57711.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57712.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57713.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57714.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57715.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57716.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57717.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57718.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57719.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57720.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57721.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
57722.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
