         MJD         m       dm     uJy    duJy   F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN     Mask
57492.402356 19.051202      NaN    -2.0    28.0   o  0.0    1.35 210.89924 54.31835  8201.37  1743.43 4.08 3.65  24.1 -0.505    19.02 20.45 02a57492o0382o   0.107143        0
57492.415099 18.582238      NaN    57.0    24.0   o  0.0    1.21 210.89924 54.31835  8486.45  2312.14 3.81 3.54  35.0 -0.502    19.10 20.55 02a57492o0405o   2.583333   524288
57492.430506 19.401649      NaN    -7.0    21.0   o  0.0    1.25 210.89924 54.31835  7348.61  2940.26 3.68 3.53  29.9 -0.475    19.11 20.59 02a57492o0433o  -0.095238   524288
57492.449596 19.351140      NaN   -12.0    22.0   o  0.0    0.96 210.89924 54.31835  7270.68  2845.18 3.75 3.58  18.9 -0.458    19.13 20.66 02a57492o0472o  -0.318182        0
57523.355574 18.910912      NaN   -58.0    33.0   o  0.0    1.06 210.89924 54.31835  6155.30  1373.44 4.32 3.45   1.6 -0.534    18.86 20.17 02a57523o0219o  -1.606061   524288
57523.364398 18.910912      NaN     7.0    29.0   o  0.0    1.16 210.89924 54.31835  4324.94  9125.36 3.89 3.60 -78.6 -0.470    18.84 20.22 02a57523o0237o   0.413793        0
57523.381095 19.014394      NaN   -21.0    30.0   o  0.0    0.84 210.89924 54.31835  4388.11  9207.48 3.84 3.59 -75.7 -0.464    18.84 20.19 02a57523o0271o  -0.533333        0
57523.387699 18.878500      NaN     7.0    30.0   o  0.0    1.30 210.89924 54.31835  4412.60  9092.69 3.94 3.65 -75.5 -0.455    18.81 20.18 02a57523o0284o   0.400000        0
57523.409491 18.729535      NaN    19.0    31.0   o  0.0    1.07 210.89924 54.31835  4369.75  9152.94 3.83 3.53 -77.8 -0.474    18.80 20.13 02a57523o0325o   0.774194        0
57527.358027 18.369531      NaN    35.0    41.0   o  0.0    1.08 210.89924 54.31835  2676.50  9399.48 4.15 3.76 -55.0 -0.471    18.46 19.51 02a57527o0104o   0.975610   524288
57527.369297 18.292405      NaN    47.0    41.0   o  0.0    1.36 210.89924 54.31835  2662.18  9363.88 4.31 3.88 -46.5 -0.459    18.41 19.50 02a57527o0126o   1.268293        0
57527.371716 18.280067      NaN    52.0    40.0   o  0.0    1.32 210.89924 54.31835  2720.85  9442.97 4.05 3.66 -56.7 -0.480    18.46 19.48 02a57527o0131o   1.425000        0
57527.394983 18.174913      NaN    58.0    44.0   o  0.0    1.35 210.89924 54.31835  2741.96  9327.89 4.33 3.87 -63.3 -0.461    18.38 19.45 02a57527o0177o   1.431818   524288
57527.405379 18.481707      NaN    -9.0    49.0   o  0.0    0.97 210.89924 54.31835  2711.33  9387.33 4.33 3.86 -61.2 -0.456    18.37 19.43 02a57527o0198o  -0.081633   524288
57535.336981 15.208283      NaN  1291.0   567.0   o  0.0    1.01 210.89924 54.31835  2465.98  8219.65 3.91 3.44 -66.3 -0.479    15.47 16.84 02a57535o0225o   2.285714  4196354
57535.346198 16.980256      NaN   191.0   130.0   o  0.0    0.82 210.89924 54.31835  2454.30  8178.71 3.83 3.38 -66.1 -0.484    17.61 19.09 02a57535o0244o   1.507692   524288
57535.363162 17.755295      NaN    87.0    65.0   o  0.0    0.65 210.89924 54.31835  2513.75  8253.97 3.85 3.45 -67.3 -0.476    18.26 19.82 02a57535o0278o   1.415385        0
57535.369944 18.847027      NaN    -2.0    34.0   o  0.0    0.92 210.89924 54.31835  2527.79  8137.06 3.84 3.44 -66.0 -0.459    18.86 20.44 02a57535o0292o   0.088235        0
57535.380630 19.212347      NaN   -58.0    25.0   o  0.0    1.10 210.89924 54.31835  2493.45  8203.88 3.84 3.47 -62.5 -0.454    19.07 20.70 02a57535o0313o  -2.120000     4096
57568.311481 18.867907      NaN    23.0    25.0   o  0.0    1.12 210.89924 54.31835  2691.09  7894.84 3.89 3.50 -65.9 -0.471    19.04 20.65 02a57568o0155o   1.120000   524288
57568.321807 18.921935      NaN    21.0    24.0   o  0.0    1.21 210.89924 54.31835  2679.33  7852.64 3.77 3.41 -65.7 -0.475    19.08 20.69 02a57568o0176o   1.083333  4194560
57568.337986 18.978793      NaN     7.0    27.0   o  0.0    1.02 210.89924 54.31835  2735.23  7927.02 3.85 3.46 -62.7 -0.470    19.09 20.74 02a57568o0209o   0.444444   524288
57568.343307 18.955691      NaN    21.0    23.0   o  0.0    1.07 210.89924 54.31835  2746.84  7809.03 3.78 3.38 -67.0 -0.461    19.12 20.79 02a57568o0220o   1.130435        0
57568.356106 18.776955      NaN    41.0    22.0   o  0.0    1.21 210.89924 54.31835  2713.74  7868.81 3.76 3.39 -64.5 -0.462    19.13 20.81 02a57568o0246o   2.090909   524288
57589.280444 17.809593      NaN    79.0    63.0   o  0.0    1.06 210.89924 54.31835  2893.16  9850.73 3.78 3.57 -43.3 -0.496    18.28 19.15 02a57589o0116o   1.333333     8192
57589.288075 13.850652      NaN  3143.0  2439.0   o  0.0    0.07 210.89924 54.31835  1709.80    44.68 5.06 3.13  -8.4 -0.495    18.20 19.05 02a57589o0131o   1.290693  4196354
57589.293601 18.005163      NaN    34.0    63.0   o  0.0    1.31 210.89924 54.31835  2869.04  9810.86 3.80 3.56 -47.6 -0.508    18.19 19.03 02a57589o0142o   0.619048     8192
57598.263361 19.002397      NaN    14.0    24.0   o  0.0    1.14 210.89924 54.31835  3949.02  8887.68 4.11 3.89 -68.6 -0.436    19.08 20.79 02a57598o0056o   0.791667   524288
57598.273753 18.944322      NaN    13.0    26.0   o  0.0    1.00 210.89924 54.31835  3924.94  8848.00 4.32 3.97 -67.5 -0.422    19.06 20.87 02a57598o0077o   0.692308        0
57598.286435 19.115465      NaN    -1.0    26.0   o  0.0    0.96 210.89924 54.31835  3979.69  8924.20 4.27 3.92 -69.0 -0.436    19.06 20.87 02a57598o0103o   0.153846   524288
57598.302465 18.944322      NaN     1.0    30.0   o  0.0    0.90 210.89924 54.31835  4002.63  8802.32 4.60 4.18 -71.5 -0.416    18.98 20.86 02a57598o0136o   0.200000   524288
57598.311407 18.944322      NaN   -11.0    32.0   o  0.0    0.73 210.89924 54.31835  3969.64  8862.60 4.57 4.15 -69.6 -0.449    18.96 20.84 02a57598o0154o  -0.187500   524288
